Results_Name,VSPAERO_History
Results_Timestamp,1686663527
Results_Date,6,13,2023
Results_Time,15,38,47
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,9.085636890000000146e-03,1.039232010100000006e-02,1.050880344700000010e-02
CDo,1.758199968300000124e-02,1.797952752000000001e-02,1.800197725600000132e-02
CDt,9.840357673999999139e-03,1.118302800200000023e-02,1.135976074499999919e-02
CDtot,2.666763657399999835e-02,2.837184762100000007e-02,2.851078070199999925e-02
CDtott,2.742235735799999907e-02,2.916255552199999851e-02,2.936173799999999834e-02
CFx,2.666763657399999835e-02,2.837184762100000007e-02,2.851078070199999925e-02
CFxi,9.085636890000000146e-03,1.039232010100000006e-02,1.050880344700000010e-02
CFxo,1.758199968300000124e-02,1.797952752000000001e-02,1.800197725600000132e-02
CFy,-3.561650111999999958e-03,-2.810160399999999970e-05,-1.609302999999999862e-05
CFyi,-3.571880437999999918e-03,-2.781294200000000087e-05,-1.618392299999999890e-05
CFyo,1.023032600000000041e-05,-2.886619999999999944e-07,9.089200000000000418e-08
CFz,5.986769653819999926e-01,6.432323805109999570e-01,6.458615711799999826e-01
CFzi,5.985290882310000393e-01,6.432397888580000389e-01,6.458774008940000311e-01
CFzo,1.478771510000000003e-04,-7.408345999999999864e-06,-1.582971400000000021e-05
CL,5.986769653819999926e-01,6.432323805109999570e-01,6.458615711799999826e-01
CLi,5.985290882310000393e-01,6.432397888580000389e-01,6.458774008940000311e-01
CLo,1.478771510000000003e-04,-7.408345999999999864e-06,-1.582971400000000021e-05
CMx,1.100699976199999951e-02,1.948333279999999866e-04,4.816166800000000253e-05
CMxi,1.104316825199999977e-02,1.935078279999999872e-04,4.834157599999999911e-05
CMxo,-3.616848999999999699e-05,1.325500000000000057e-06,-1.799079999999999987e-07
CMy,-1.124538948519999970e-01,-1.061060116430000005e-01,-1.059829327009999961e-01
CMyi,-1.238941616080000002e-01,-1.178292509870000060e-01,-1.177247614659999997e-01
CMyo,1.144026675599999973e-02,1.172323934400000024e-02,1.174182876500000014e-02
CMz,-6.271507590000000411e-04,-2.309868899999999951e-05,-3.888901999999999786e-06
CMzi,-5.525542039999999664e-04,-2.202824699999999882e-05,-3.495145999999999790e-06
CMzo,-7.459655499999999343e-05,-1.070442000000000050e-06,-3.937550000000000209e-07
CS,-3.561650111999999958e-03,-2.810160399999999970e-05,-1.609302999999999862e-05
CSi,-3.571880437999999918e-03,-2.781294200000000087e-05,-1.618392299999999890e-05
CSo,1.023032600000000041e-05,-2.886619999999999944e-07,9.089200000000000418e-08
E,1.045788633082000096e+00,1.055995471613000003e+00,1.052872247588999999e+00
FC_AoA_,0.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.606230000000000047e+00
FC_Cref_,1.338399999999999868e-01
FC_Mach_,2.999999999999999889e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,1.250000000000000000e+05
FC_Rho_,1.225000000000000089e+00
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,2.149780000000000024e-01
FC_Vinf_,3.000000000000000000e+01
FC_Xcg_,4.307000000000000273e-01
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,0.000000000000000000e+00
L/D,2.244402448547500128e+01,2.267176242607099823e+01,2.265379568648100062e+01
Mach,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3
Results_Name,VSPAERO_History
Results_Timestamp,1686663527
Results_Date,6,13,2023
Results_Time,15,38,47
Alpha,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,1.222314525899999976e-02,1.361932901199999942e-02,1.384188853599999970e-02
CDo,1.844835377300000148e-02,1.886409639499999832e-02,1.890489808900000165e-02
CDt,1.307176751800000029e-02,1.449550240599999963e-02,1.493916834200000043e-02
CDtot,3.067149903200000124e-02,3.248342540699999947e-02,3.274678662500000309e-02
CDtott,3.152012129100000004e-02,3.335959880000000100e-02,3.384406643099999862e-02
CFx,1.852822472599999909e-02,1.960796516800000083e-02,1.979800526099999985e-02
CFxi,7.973955799999999641e-05,7.411334720000000049e-04,8.900902000000000249e-04
CFxo,1.844848516799999991e-02,1.886683169600000126e-02,1.890791506100000102e-02
CFy,-4.263798897000000386e-03,-6.578108899999999593e-05,-2.866186100000000080e-05
CFyi,-4.277334259999999652e-03,-6.547970800000000452e-05,-2.877421199999999921e-05
CFyo,1.353536299999999965e-05,-3.013809999999999907e-07,1.123509999999999980e-07
CFz,6.959553851680000403e-01,7.379181016200000442e-01,7.421209643680000134e-01
CFzi,6.958019164080000429e-01,7.379101824270000165e-01,7.421288260799999703e-01
CFzo,1.534687590000000047e-04,7.919192999999999515e-06,-7.861712000000000802e-06
CL,6.955260256830000376e-01,7.374635069420000244e-01,7.416624129159999912e-01
CLi,6.956945507589999966e-01,7.377848605700000340e-01,7.420002620490000478e-01
CLo,-1.685250760000000115e-04,-3.213536280000000092e-04,-3.378491329999999942e-04
CMx,1.301811307400000013e-02,3.648285190000000243e-04,1.037176740000000003e-04
CMxi,1.306377929400000075e-02,3.633845020000000159e-04,1.039650479999999961e-04
CMxo,-4.566622000000000134e-05,1.444017999999999928e-06,-2.473739999999999756e-07
CMy,-1.062358466490000014e-01,-1.018071690590000022e-01,-1.014787882779999983e-01
CMyi,-1.182247629790000032e-01,-1.140909772559999952e-01,-1.137957954210000039e-01
CMyo,1.198891633000000005e-02,1.228380819699999987e-02,1.231700714300000034e-02
CMz,-6.370982249999999729e-04,-3.324146000000000072e-05,-5.565758000000000253e-06
CMzi,-5.325948470000000344e-04,-3.052527700000000105e-05,-4.594559999999999764e-06
CMzo,-1.045033780000000062e-04,-2.716183000000000096e-06,-9.711980000000000652e-07
CS,-4.263798897000000386e-03,-6.578108899999999593e-05,-2.866186100000000080e-05
CSi,-4.277334259999999652e-03,-6.547970800000000452e-05,-2.877421199999999921e-05
CSo,1.353536299999999965e-05,-3.013809999999999907e-07,1.123509999999999980e-07
E,1.050226566637000092e+00,1.060065099668000110e+00,1.054973472387999989e+00
FC_AoA_,1.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.606230000000000047e+00
FC_Cref_,1.338399999999999868e-01
FC_Mach_,2.999999999999999889e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,1.250000000000000000e+05
FC_Rho_,1.225000000000000089e+00
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,2.149780000000000024e-01
FC_Vinf_,3.000000000000000000e+01
FC_Xcg_,4.307000000000000273e-01
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,0.000000000000000000e+00
L/D,2.268211768975699982e+01,2.271265580322199895e+01,2.265871978682600130e+01
Mach,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3
Results_Name,VSPAERO_History
Results_Timestamp,1686663527
Results_Date,6,13,2023
Results_Time,15,38,47
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
AnalysisMethod,0
Beta,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
CDi,9.087480337999999727e-03,1.035870773200000053e-02,1.048992188700000050e-02
CDo,1.757982669100000006e-02,1.797637165700000095e-02,1.800184779699999862e-02
CDt,9.790717231999999937e-03,1.102447530200000025e-02,1.124493841500000084e-02
CDtot,2.666730702900000152e-02,2.833507938900000148e-02,2.849176968399999912e-02
CDtott,2.737054392300000000e-02,2.900084695900000120e-02,2.924678621200000120e-02
CFx,2.659523919100000022e-02,2.832600058899999856e-02,2.848184297699999853e-02
CFxi,9.017970026999999611e-03,1.035242184400000064e-02,1.048277939000000041e-02
CFxo,1.757726916499999931e-02,1.797357874599999836e-02,1.799906358699999986e-02
CFy,-4.361485741000000090e-03,-7.674005680000000121e-04,-8.173445799999999725e-04
CFyi,-4.061548326000000327e-03,-4.505173600000000216e-04,-5.007375519999999764e-04
CFyo,-2.999374139999999838e-04,-3.168832079999999904e-04,-3.166070289999999921e-04
CFz,5.980036351659999694e-01,6.431138221669999711e-01,6.458685831939999789e-01
CFzi,5.978558003699999679e-01,6.431201221450000283e-01,6.458834903950000372e-01
CFzo,1.478347959999999986e-04,-6.299977000000000245e-06,-1.490720099999999958e-05
CL,5.980036351659999694e-01,6.431138221669999711e-01,6.458685831939999789e-01
